# Logfile created on 2019-02-22 10:30:10 +0000 by logger.rb/61378
[2019-02-22T10:30:11+00:00] INFO: Started chef-zero at chefzero://localhost:1 with repository at /opt/gitlab/embedded
  One version per cookbook

[2019-02-22T10:30:11+00:00] INFO: *** Chef 13.6.4 ***
[2019-02-22T10:30:11+00:00] INFO: Platform: x86_64-linux
[2019-02-22T10:30:11+00:00] INFO: Chef-client pid: 23
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/settings_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/config_mash.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/omnibus_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/config/roles/redis_master.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/metadata.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/handlers/gitlab.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/postgresql/recipes/bin.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/redhat_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/postgresql/recipes/disable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/roles_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/postgresql/recipes/enable.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/services_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/postgresql/recipes/user.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/version_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/postgresql/resources/database.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/postgresql/recipes/directory_locations.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/postgresql/resources/query.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/helpers/output_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/postgresql/resources/user.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/package/libraries/storage_directory_helper.rb in the cache.
[2019-02-22T10:30:16+00:00] INFO: Storing updated cookbooks/postgresql/templates/default/pg_hba.conf.erb in the cache.
